iter	Passed	Remaining
419	2326	3212
420	2330	3205
421	2336	3199
422	2340	3192
423	2344	3185
424	2350	3180
425	2355	3174
426	2360	3167
427	2366	3162
428	2372	3157
429	2377	3152
430	2384	3147
431	2389	3142
432	2395	3136
433	2401	3132
434	2407	3126
435	2412	3120
436	2417	3114
437	2422	3108
438	2427	3102
439	2433	3096
440	2437	3090
441	2442	3084
442	2448	3078
443	2453	3072
444	2458	3065
445	2463	3059
446	2468	3054
447	2472	3046
448	2476	3039
449	2481	3032
450	2484	3024
451	2488	3017
452	2492	3009
453	2496	3001
454	2499	2994
455	2503	2987
456	2507	2979
457	2511	2972
458	2515	2964
459	2519	2957
460	2523	2950
461	2526	2942
462	2530	2934
463	2533	2926
464	2537	2919
465	2541	2912
466	2546	2905
467	2551	2900
468	2558	2896
469	2564	2891
470	2569	2886
471	2579	2885
472	2585	2880
473	2596	2881
474	2610	2885
475	2624	2888
476	2636	2890
477	2647	2890
478	2656	2889
479	2665	2888
480	2672	2883
481	2678	2879
482	2684	2873
483	2689	2867
484	2695	2861
485	2700	2856
486	2706	2851
487	2713	2847
488	2723	2845
489	2733	2844
490	2743	2844
491	2755	2845
492	2765	2843
493	2774	2841
494	2783	2839
495	2792	2837
496	2798	2832
497	2807	2830
498	2815	2826
499	2824	2824
500	2831	2819
501	2839	2816
502	2847	2813
503	2856	2810
504	2863	2806
505	2872	2804
506	2879	2800
507	2887	2796
508	2893	2791
509	2898	2785
510	2904	2779
511	2909	2772
512	2913	2766
513	2918	2759
514	2923	2752
515	2928	2746
516	2933	2741
517	2939	2735
518	2945	2729
519	2951	2724
520	2956	2718
521	2961	2711
522	2966	2705
523	2971	2699
524	2976	2693
525	2982	2687
526	2988	2682
527	2994	2677
528	3001	2672
529	3006	2666
530	3011	2659
531	3017	2654
532	3023	2648
533	3028	2643
534	3035	2638
535	3042	2633
536	3049	2628
537	3055	2623
538	3061	2618
539	3068	2614
540	3075	2609
541	3083	2605
542	3089	2600
543	3097	2596
544	3104	2591
545	3113	2588
546	3118	2582
547	3124	2577
548	3130	2571
549	3135	2565
550	3142	2560
551	3148	2555
552	3154	2549
553	3160	2544
554	3166	2538
555	3171	2532
556	3176	2526
557	3182	2520
558	3187	2514
559	3193	2509
560	3199	2504
561	3205	2498
562	3212	2493
563	3218	2488
564	3226	2484
565	3233	2479
566	3241	2475
567	3246	2469
568	3253	2464
569	3260	2459
570	3266	2454
571	3273	2449
572	3280	2444
573	3288	2440
574	3294	2435
575	3301	2430
576	3308	2425
577	3314	2420
578	3322	2415
579	3329	2410
580	3336	2406
581	3342	2400
582	3347	2394
583	3351	2387
584	3356	2380
585	3360	2374
586	3365	2367
587	3370	2361
588	3376	2356
589	3383	2351
590	3389	2345
591	3394	2339
592	3399	2333
593	3404	2327
594	3409	2320
595	3414	2314
596	3419	2308
597	3423	2301
598	3428	2295
599	3433	2288
600	3438	2282
601	3442	2275
602	3447	2269
603	3451	2262
604	3455	2256
605	3459	2249
606	3463	2242
607	3467	2235
608	3471	2228
609	3475	2221
610	3479	2215
611	3484	2208
612	3489	2202
613	3494	2196
614	3500	2191
615	3505	2185
616	3510	2179
617	3516	2173
618	3522	2168
619	3528	2162
620	3534	2157
621	3540	2151
622	3548	2147
623	3554	2142
624	3562	2137
625	3567	2131
626	3572	2125
627	3576	2118
628	3581	2112
629	3586	2106
630	3590	2099
631	3596	2094
632	3602	2088
633	3608	2082
634	3614	2077
635	3621	2072
636	3628	2067
637	3634	2061
638	3639	2056
639	3644	2050
640	3649	2043
641	3653	2037
642	3658	2031
643	3663	2024
644	3667	2018
645	3673	2012
646	3678	2007
647	3683	2001
648	3689	1995
649	3695	1989
650	3701	1984
651	3707	1978
652	3712	1972
653	3717	1966
654	3722	1960
655	3727	1954
656	3732	1948
657	3736	1942
658	3740	1935
659	3745	1929
660	3749	1923
661	3755	1917
662	3760	1911
663	3765	1905
664	3771	1899
665	3776	1894
666	3781	1887
667	3786	1881
668	3790	1875
669	3794	1868
670	3798	1862
671	3804	1856
672	3809	1850
673	3814	1844
674	3819	1839
675	3824	1833
676	3829	1826
677	3833	1820
678	3838	1814
679	3842	1808
680	3846	1801
681	3851	1796
682	3857	1790
683	3861	1784
684	3866	1778
685	3871	1772
686	3875	1765
687	3879	1759
688	3883	1753
689	3888	1746
690	3891	1740
691	3895	1733
692	3899	1727
693	3903	1721
694	3907	1714
695	3912	1708
696	3916	1702
697	3921	1696
698	3925	1690
699	3929	1683
700	3933	1677
701	3936	1671
702	3940	1664
703	3943	1658
704	3947	1651
705	3951	1645
706	3954	1638
707	3958	1632
708	3961	1626
709	3965	1619
710	3969	1613
711	3973	1607
712	3977	1601
713	3982	1595
714	3987	1589
715	3991	1583
716	3996	1577
717	4000	1571
718	4004	1564
719	4008	1558
720	4013	1552
721	4017	1546
722	4021	1540
723	4025	1534
724	4030	1528
725	4035	1522
726	4039	1516
727	4044	1510
728	4047	1504
729	4051	1498
730	4054	1492
731	4058	1485
732	4062	1479
733	4065	1473
734	4069	1467
735	4072	1460
736	4076	1454
737	4080	1448
738	4084	1442
739	4087	1436
740	4091	1430
741	4095	1423
742	4098	1417
743	4101	1411
744	4105	1405
745	4109	1399
746	4113	1393
747	4117	1387
748	4122	1381
749	4126	1375
750	4131	1369
751	4135	1363
752	4140	1358
753	4144	1352
754	4148	1346
755	4152	1340
756	4157	1334
757	4160	1328
758	4164	1322
759	4168	1316
760	4172	1310
761	4176	1304
762	4180	1298
763	4183	1292
764	4187	1286
765	4191	1280
766	4194	1274
767	4198	1268
768	4201	1262
769	4205	1256
770	4208	1250
771	4211	1243
772	4215	1237
773	4218	1231
774	4221	1225
775	4225	1219
776	4228	1213
777	4232	1207
778	4236	1201
779	4240	1196
780	4244	1190
781	4248	1184
782	4253	1178
783	4257	1173
784	4262	1167
785	4266	1161
786	4271	1155
787	4275	1150
788	4280	1144
789	4285	1139
790	4291	1133
791	4296	1128
792	4301	1122
793	4306	1117
794	4311	1111
795	4316	1106
796	4321	1100
797	4325	1095
798	4330	1089
799	4335	1083
800	4339	1078
801	4344	1072
802	4349	1066
803	4353	1061
804	4357	1055
805	4361	1049
806	4365	1044
807	4368	1038
808	4372	1032
809	4375	1026
810	4379	1020
811	4383	1014
812	4386	1008
813	4390	1003
814	4393	997
815	4397	991
816	4401	985
817	4404	980
818	4408	974
819	4412	968
820	4416	962
821	4419	957
822	4423	951
823	4427	945
824	4430	939
825	4434	934
826	4438	928
827	4442	922
828	4447	917
829	4451	911
830	4454	905
831	4458	900
832	4462	894
833	4466	889
834	4469	883
835	4473	877
836	4479	872
837	4484	866
838	4489	861
839	4494	856
840	4499	850
841	4505	845
842	4511	840
843	4516	834
844	4521	829
845	4526	824
846	4531	818
847	4534	812
848	4539	807
849	4544	801
850	4548	796
851	4552	790
852	4556	785
853	4560	779
854	4564	774
855	4567	768
856	4571	762
857	4574	757
858	4578	751
859	4581	745
860	4584	740
861	4588	734
862	4591	728
863	4594	723
864	4598	717
865	4602	712
866	4606	706
867	4610	701
868	4613	695
869	4617	690
870	4621	684
871	4625	678
872	4628	673
873	4631	667
874	4635	662
875	4640	656
876	4644	651
877	4648	645
878	4653	640
879	4658	635
880	4662	629
881	4666	624
882	4670	618
883	4674	613
884	4678	607
885	4682	602
886	4687	597
887	4691	591
888	4695	586
889	4701	581
890	4706	575
891	4711	570
892	4717	565
893	4723	560
894	4728	554
895	4733	549
896	4739	544
897	4745	538
898	4751	533
899	4757	528
900	4762	523
901	4768	518
902	4774	512
903	4779	507
904	4785	502
905	4790	497
906	4795	491
907	4801	486
908	4806	481
909	4811	475
910	4816	470
911	4821	465
912	4826	459
913	4832	454
914	4837	449
915	4841	443
916	4846	438
917	4851	433
918	4856	428
919	4861	422
920	4866	417
921	4870	412
922	4875	406
923	4880	401
924	4884	396
925	4889	390
926	4894	385
927	4898	380
928	4902	374
929	4906	369
930	4911	364
931	4916	358
932	4920	353
933	4925	348
934	4931	342
935	4935	337
936	4939	332
937	4944	326
938	4948	321
939	4952	316
940	4956	310
941	4961	305
942	4965	300
943	4969	294
944	4973	289
945	4978	284
946	4982	278
947	4986	273
948	4990	268
949	4995	262
950	4999	257
951	5003	252
952	5008	246
953	5012	241
954	5016	236
955	5021	231
956	5025	225
957	5029	220
958	5033	215
959	5037	209
960	5042	204
961	5046	199
962	5050	194
963	5055	188
964	5060	183
965	5064	178
966	5068	172
967	5073	167
968	5078	162
969	5083	157
970	5088	151
971	5093	146
972	5097	141
973	5102	136
974	5106	130
975	5111	125
976	5115	120
977	5120	115
978	5125	109
979	5129	104
980	5133	99
981	5138	94
982	5143	88
983	5147	83
984	5151	78
985	5155	73
986	5159	67
987	5164	62
988	5169	57
989	5174	52
990	5178	47
991	5182	41
992	5187	36
993	5191	31
994	5195	26
995	5199	20
996	5204	15
997	5208	10
998	5212	5
999	5216	0
